Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,16.885,17.072,16.313,16.357,198445200,14.39913
2015-08-17,16.951,16.951,16.742,16.852,120892000,14.83488
2015-08-14,17.017,17.094,16.907,17.039,66356000,14.9995
2015-08-13,17.017,17.116,16.819,16.995,74034200,14.96076
2015-08-12,16.94,17.16,16.918,16.929,79184300,14.90266
2015-08-11,17.27,17.325,17.061,17.127,105104100,15.07696
2015-08-10,16.995,17.446,16.885,17.358,116938200,15.28031
2015-08-07,17.138,17.204,16.929,17.017,65302200,14.98013
2015-08-06,16.676,17.127,16.654,16.918,65377900,14.89298
2015-08-05,17.16,17.204,16.797,16.841,58185800,14.8252
2015-08-04,17.028,17.237,16.918,17.193,85154300,15.13506
2015-08-03,16.489,17.16,16.346,17.083,212367100,15.03823
2015-07-31,16.467,16.676,16.115,16.577,234941200,14.5928
2015-07-30,16.819,16.896,16.368,16.39,118921700,14.42818
2015-07-29,16.742,16.83,16.632,16.819,135858700,14.80583
2015-07-28,16.148,16.94,16.082,16.764,246095100,14.75741
2015-07-27,17.60,17.71,16.324,16.412,225091500,14.44755
2015-07-24,18.073,18.139,17.743,17.754,123609100,15.62891
2015-07-23,17.864,18.161,17.798,18.073,114525400,15.90973
2015-07-22,17.963,18.018,17.765,17.776,120352700,15.64828
2015-07-21,18.238,18.392,17.93,18.018,156268200,15.86131
2015-07-20,18.70,18.733,18.315,18.348,172918100,16.15182
2015-07-17,18.733,18.909,18.568,18.722,195927500,16.48105
2015-07-16,18.777,18.832,18.381,18.656,181402600,16.42295
2015-07-15,18.37,18.843,18.161,18.777,348253500,16.52946
2015-07-14,18.458,18.678,17.996,18.425,305725800,16.2196
2015-07-13,18.689,19.228,18.491,18.744,372594600,16.50042
2015-07-10,18.436,19.965,18.315,19.008,647768500,16.73282
2015-07-09,17.545,19.14,16.918,18.645,545237200,16.41327
2015-07-08,17.82,19.25,17.391,17.545,837950400,15.44493
2015-07-07,18.634,19.602,18.106,19.327,713763500,17.01363
2015-07-06,19.14,19.206,18.293,18.942,659421900,16.67471
2015-07-03,18.029,18.304,16.61,17.457,312701000,15.36746
2015-07-02,18.15,18.513,17.391,18.007,322264800,15.85163
2015-07-01,18.491,18.623,17.82,17.952,250556000,15.80321
2015-06-30,17.523,18.678,17.501,18.656,375411200,16.42295
2015-06-29,17.93,18.183,16.291,17.501,420675700,15.4062
2015-06-26,18.073,18.788,16.863,17.435,361776700,15.3481
2015-06-25,19.36,19.514,18.315,18.381,271649000,16.18086
2015-06-24,18.733,19.03,18.238,18.975,257825300,16.70377
2015-06-23,18.095,18.799,17.864,18.722,297748900,16.48105
2015-06-22,18.777,18.777,18.777,18.777,000,15.79644
