Date,Open,High,Low,Close,Volume,Adj Close
2015-11-25,14.652,14.844,14.604,14.784,51346200,12.13945
2015-11-24,14.892,14.94,14.592,14.736,66421400,12.10003
2015-11-23,15.06,15.12,14.856,14.94,60797500,12.26754
2015-11-20,15.00,15.108,14.904,15.06,59803600,12.36608
2015-11-19,14.88,15.012,14.796,15.00,47112000,12.31681
2015-11-18,14.952,15.24,14.772,14.904,79370400,12.23798
2015-11-17,14.892,15.24,14.832,15.00,104648600,12.31681
2015-11-16,14.556,14.868,14.508,14.808,55984800,12.15916
2015-11-13,14.664,14.976,14.628,14.688,58755500,12.06062
2015-11-12,15.12,15.18,14.736,14.88,67113900,12.21828
2015-11-11,15.24,15.336,14.856,15.06,102173500,12.36608
2015-11-10,15.36,15.684,15.132,15.30,112502700,12.56315
2015-11-09,15.00,16.056,14.952,15.528,241388700,12.75036
2015-11-06,14.424,14.892,14.304,14.868,146319500,12.20842
2015-11-05,13.92,15.084,13.86,14.484,229218900,11.89311
2015-11-04,13.296,14.04,13.26,14.028,130724400,11.51868
2015-11-03,13.38,13.452,13.212,13.26,39126500,10.88806
2015-11-02,13.524,13.584,13.32,13.368,48443500,10.97674
2015-10-30,13.56,13.704,13.524,13.632,53593000,11.19352
2015-10-29,13.56,13.632,13.50,13.524,31670300,11.10484
2015-10-28,13.752,13.776,13.50,13.524,54481100,11.10484
2015-10-27,13.80,13.968,13.608,13.776,58043600,11.31176
2015-10-26,13.92,14.172,13.728,13.824,108591700,11.35117
2015-10-23,13.668,13.836,13.608,13.764,93742500,11.30191
2015-10-22,13.50,13.68,13.416,13.596,82280500,11.16396
2015-10-21,13.548,14.10,13.416,13.464,133262900,11.05557
2015-10-20,13.44,13.656,13.428,13.584,71516300,11.1541
2015-10-19,13.524,13.62,13.38,13.512,72337100,11.09498
2015-10-16,13.452,13.56,13.392,13.476,57000100,11.06542
2015-10-15,13.14,13.404,13.128,13.404,48590000,11.0063
2015-10-14,13.248,13.38,13.128,13.176,41898000,10.81909
2015-10-13,13.44,13.512,13.308,13.356,35979800,10.96689
2015-10-12,13.152,13.656,13.092,13.476,84966500,11.06542
2015-10-09,12.90,13.14,12.864,13.08,47461200,10.74026
2015-10-08,13.02,13.068,12.84,12.84,49407000,10.54319
2015-10-07,12.588,12.588,12.588,12.588,000,10.33627
2015-10-06,12.588,12.588,12.588,12.588,000,10.33627
2015-10-05,12.588,12.588,12.588,12.588,000,10.33627
2015-10-02,12.588,12.588,12.588,12.588,000,10.33627
2015-10-01,12.588,12.588,12.588,12.588,000,10.33627
2015-09-30,12.48,12.708,12.468,12.588,36465900,10.33627
2015-09-29,12.54,12.672,12.384,12.456,33360300,10.22788
2015-09-28,12.672,12.708,12.516,12.636,19908700,10.37568
2015-09-25,12.828,12.852,12.54,12.66,44642000,10.39539
2015-09-24,12.912,12.972,12.804,12.852,25863200,10.55304
2015-09-23,13.032,13.092,12.816,12.84,37115000,10.54319
2015-09-22,12.996,13.272,12.984,13.152,49295500,10.79938
2015-09-21,12.84,13.068,12.78,12.984,38611100,10.66143
2015-09-18,13.008,13.152,12.876,12.972,31827200,10.65158
2015-09-17,13.02,13.368,12.924,12.924,62079800,10.61216
2015-09-16,12.708,13.296,12.624,13.08,56924300,10.74026
2015-09-15,12.828,13.02,12.60,12.684,54283900,10.41509
2015-09-14,13.188,13.20,12.54,13.044,75645200,10.7107
2015-09-11,13.224,13.344,13.056,13.152,42645000,10.79938
2015-09-10,13.20,13.416,13.128,13.26,46520500,10.88806
2015-09-09,13.236,13.428,13.056,13.32,85107300,10.93733
2015-09-08,13.056,13.38,12.708,13.20,74729200,10.83879
2015-09-07,13.86,13.872,13.068,13.068,137611000,10.73041
2015-09-04,14.208,14.208,14.208,14.208,000,11.66648
2015-09-03,14.208,14.208,14.208,14.208,000,11.66648
2015-09-02,13.416,14.40,13.272,14.208,281574600,11.66648
2015-09-01,13.08,13.932,12.732,13.884,265766100,11.40044
2015-08-31,12.852,13.284,12.576,13.284,146429700,10.90777
2015-08-28,13.068,13.308,12.66,12.996,160802900,10.67128
2015-08-27,12.192,13.08,11.832,12.96,184923500,10.64172
2015-08-26,11.52,12.276,11.16,11.892,249191900,9.76477
2015-08-25,11.82,12.42,11.184,11.352,219233300,9.32136
2015-08-24,13.32,13.404,12.42,12.42,151802900,10.19832
2015-08-21,14.28,14.388,13.752,13.80,93336700,11.33147
2015-08-20,14.604,14.604,14.28,14.46,67763400,11.87341
2015-08-19,14.52,14.676,14.28,14.676,95889400,12.05077
2015-08-18,15.00,15.288,14.34,14.724,117632400,12.09018
2015-08-17,15.132,15.228,14.94,15.048,67964200,12.35622
2015-08-14,15.228,15.30,15.096,15.168,82378900,12.45476
2015-08-13,15.012,15.204,14.904,15.084,60634400,12.38578
2015-08-12,15.228,15.324,15.072,15.084,68682200,12.38578
2015-08-11,15.492,15.54,15.348,15.408,82849300,12.65183
2015-08-10,15.192,15.588,15.06,15.504,105311200,12.73066
2015-08-07,15.132,15.264,15.048,15.132,62201000,12.4252
2015-08-06,15.00,15.276,14.916,15.036,45021800,12.34637
2015-08-05,15.36,15.54,15.084,15.108,55180200,12.40549
2015-08-04,15.324,15.588,15.108,15.432,77493700,12.67153
2015-08-03,14.64,15.42,14.58,15.384,140512200,12.63212
2015-07-31,14.592,14.904,14.424,14.832,120274600,12.17886
2015-07-30,15.132,15.168,14.676,14.712,77027800,12.08033
2015-07-29,15.12,15.144,14.856,15.12,97168200,12.41535
2015-07-28,14.628,15.312,14.58,15.144,201120000,12.43505
2015-07-27,15.90,15.984,14.448,14.928,178785900,12.25769
2015-07-24,16.416,16.44,15.984,16.056,133931000,13.18391
2015-07-23,16.152,16.50,16.092,16.404,148369600,13.46966
2015-07-22,16.188,16.248,16.008,16.224,113809000,13.32186
2015-07-21,16.212,16.368,16.056,16.284,113164300,13.37113
2015-07-20,16.56,16.56,16.236,16.32,135868300,13.40069
2015-07-17,16.392,16.728,16.236,16.584,168063700,13.61747
2015-07-16,16.32,16.512,16.104,16.32,138893900,13.40069
2015-07-15,16.392,16.752,16.08,16.296,162642300,13.38098
2015-07-14,17.04,17.256,16.212,16.644,258022900,13.66673
2015-07-13,17.28,17.868,16.944,17.328,326819600,14.22838
2015-07-10,16.62,18.432,16.332,17.832,465098800,14.64222
2015-07-09,15.828,17.328,14.532,17.112,434435500,14.05102
2015-07-08,16.572,16.80,15.828,15.828,499669700,12.9967
2015-07-07,16.392,17.58,15.852,17.58,480831200,14.4353
2015-07-06,17.16,17.172,15.948,16.656,338152600,13.67659
2015-07-03,16.776,16.788,15.348,15.684,259745800,12.87846
2015-07-02,16.68,17.172,16.056,16.50,198282600,13.54849
2015-07-01,17.22,17.508,16.488,16.704,183540600,13.716
2015-06-30,16.248,17.448,16.056,17.448,254810300,14.32691
2015-06-29,16.896,16.98,15.30,16.272,261294300,13.36128
2015-06-26,17.568,17.94,16.056,16.524,255532100,13.5682
2015-06-25,18.696,18.756,17.712,17.844,207916400,14.65208
2015-06-24,18.00,18.156,17.64,18.144,153199600,14.89841
2015-06-23,17.568,17.964,16.932,17.94,180548800,14.73091
2015-06-22,17.556,17.556,17.556,17.556,000,14.4156
2015-06-19,18.30,18.468,17.40,17.556,156552000,14.4156
2015-06-18,18.816,18.816,18.012,18.456,160255400,15.1546
2015-06-17,18.996,19.068,18.54,18.876,171594200,15.49947
2015-06-16,18.96,19.272,18.60,18.768,181217900,15.41079
2015-06-15,19.836,19.92,19.08,19.104,219217600,15.68669
2015-06-12,19.776,19.956,19.572,19.812,190338800,16.26804
2015-06-11,20.016,20.124,19.62,19.776,170696000,16.23848
2015-06-10,20.16,20.316,19.836,20.016,219838600,16.43555
2015-06-09,20.832,20.94,20.016,20.376,328696700,16.73116
2015-06-08,19.584,20.94,19.428,20.748,508605000,17.03661
2015-06-05,20.04,20.16,19.236,19.56,285545600,16.06112
2015-06-04,19.02,19.896,18.792,19.644,368253200,16.1301
2015-06-03,18.924,19.14,18.60,18.996,197523100,15.59801
2015-06-02,19.068,19.08,18.624,18.924,190482200,15.53889
2015-06-01,18.396,19.176,18.228,19.08,215836200,15.66698
2015-05-29,18.612,18.804,18.132,18.384,201493200,15.09548
2015-05-28,19.80,19.812,18.516,18.60,273306100,15.27285
2015-05-27,19.944,20.292,19.68,19.776,234121700,16.23848
2015-05-26,19.956,20.04,19.536,19.944,279220800,16.37643
2015-05-25,19.62,20.052,19.62,19.92,273036900,16.35673
2015-05-22,19.092,19.56,18.984,19.524,262190700,16.03156
2015-05-21,18.96,19.068,18.744,18.948,140584600,15.5586
2015-05-20,19.212,19.38,18.72,18.888,258966700,15.50933
2015-05-19,18.204,18.888,18.06,18.708,191781200,15.36153
2015-05-18,18.24,18.42,17.964,18.216,153708400,14.95754
2015-05-15,18.96,19.056,18.324,18.54,175271600,15.22358
2015-05-14,19.20,19.26,18.828,19.068,143802700,15.65713
2015-05-13,19.416,19.50,18.888,19.056,175656100,15.64728
2015-05-12,19.176,19.416,18.78,19.152,198965500,15.7261
2015-05-11,18.96,19.344,18.588,19.236,212307700,15.79508
2015-05-08,18.852,19.176,18.60,19.02,137446800,15.61772
